timestamp,region,pm25,temperature,humidity,pm25_zscore,temperature_zscore,humidity_zscore
2025-01-03 19:30:00+00:00,US Diplomatic Post: New Delhi-8118,250.0,31.35,55.35,0.87,0.87,0.5
2025-01-03 23:30:00+00:00,US Diplomatic Post: New Delhi-8118,180.0,23.75,34.75,0.55,-0.86,-1.31
2025-01-04 03:30:00+00:00,US Diplomatic Post: New Delhi-8118,169.0,30.99,59.47,0.5,0.79,0.86
2025-01-04 07:30:00+00:00,US Diplomatic Post: New Delhi-8118,442.0,31.06,39.35,1.75,0.81,-0.9
2025-01-04 11:30:00+00:00,US Diplomatic Post: New Delhi-8118,301.0,24.75,65.69,1.11,-0.63,1.4
2025-01-04 15:30:00+00:00,US Diplomatic Post: New Delhi-8118,313.0,29.3,55.4,1.16,0.41,0.5
2025-01-04 22:30:00+00:00,New Delhi-8118,-999.0,23.26,66.4,-4.86,-0.97,1.46
2025-01-05 02:30:00+00:00,New Delhi-8118,-999.0,29.58,31.8,-4.86,0.47,-1.57
2025-01-05 06:30:00+00:00,New Delhi-8118,-999.0,28.02,53.73,-4.86,0.11,0.35
2025-01-05 10:30:00+00:00,New Delhi-8118,-999.0,26.24,53.7,-4.86,-0.29,0.35
2025-01-05 14:30:00+00:00,New Delhi-8118,-999.0,34.45,68.15,-4.86,1.58,1.62
2025-01-05 18:30:00+00:00,New Delhi-8118,-999.0,27.24,36.64,-4.86,-0.06,-1.14
2025-01-05 21:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,22.52,63.05,-4.86,-1.14,1.17
2024-12-31 19:30:00+00:00,New Delhi-8118,371.0,32.38,59.61,1.43,1.11,0.87
2024-12-31 23:30:00+00:00,New Delhi-8118,187.0,20.36,55.84,0.58,-1.63,0.54
2025-01-01 03:30:00+00:00,New Delhi-8118,154.0,30.02,44.47,0.43,0.57,-0.46
2025-01-01 07:30:00+00:00,New Delhi-8118,176.0,34.9,50.81,0.53,1.68,0.1
2025-01-01 11:30:00+00:00,New Delhi-8118,204.0,25.61,34.07,0.66,-0.44,-1.37
2025-01-01 15:30:00+00:00,New Delhi-8118,211.0,32.84,67.79,0.69,1.21,1.59
2025-01-01 22:30:00+00:00,New Delhi-8118,173.0,34.75,39.35,0.52,1.65,-0.9
2025-01-02 02:30:00+00:00,New Delhi-8118,140.0,30.07,32.13,0.37,0.58,-1.54
2025-01-02 06:30:00+00:00,New Delhi-8118,209.0,25.96,57.8,0.69,-0.36,0.71
2025-01-02 10:30:00+00:00,New Delhi-8118,217.0,24.12,59.27,0.72,-0.78,0.84
2025-01-02 14:30:00+00:00,New Delhi-8118,262.0,32.44,39.9,0.93,1.12,-0.86
2025-01-02 18:30:00+00:00,New Delhi-8118,208.0,28.39,31.26,0.68,0.2,-1.61
2025-01-02 21:30:00+00:00,US Diplomatic Post: New Delhi-8118,211.0,34.57,45.49,0.69,1.61,-0.37
2025-01-03 01:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,28.16,59.55,-4.86,0.15,0.86
2025-01-03 05:30:00+00:00,US Diplomatic Post: New Delhi-8118,258.0,34.91,62.7,0.91,1.69,1.14
2025-01-03 09:30:00+00:00,US Diplomatic Post: New Delhi-8118,330.0,25.7,43.89,1.24,-0.42,-0.51
2025-01-03 13:30:00+00:00,US Diplomatic Post: New Delhi-8118,237.0,30.84,55.5,0.81,0.76,0.51
2025-01-03 17:30:00+00:00,US Diplomatic Post: New Delhi-8118,352.0,30.31,48.81,1.34,0.64,-0.08
2025-01-03 20:30:00+00:00,US Diplomatic Post: New Delhi-8118,192.0,30.47,69.91,0.61,0.67,1.77
2025-01-04 00:30:00+00:00,US Diplomatic Post: New Delhi-8118,190.0,30.07,65.37,0.6,0.58,1.37
2025-01-04 04:30:00+00:00,US Diplomatic Post: New Delhi-8118,225.0,29.3,55.44,0.76,0.41,0.5
2025-01-04 08:30:00+00:00,US Diplomatic Post: New Delhi-8118,400.0,22.09,60.21,1.56,-1.24,0.92
2025-01-04 12:30:00+00:00,US Diplomatic Post: New Delhi-8118,288.0,24.96,58.14,1.05,-0.59,0.74
2025-01-04 16:30:00+00:00,US Diplomatic Post: New Delhi-8118,323.0,22.24,33.56,1.21,-1.21,-1.41
2025-01-04 19:30:00+00:00,New Delhi-8118,254.0,22.45,49.97,0.89,-1.16,0.03
2025-01-04 23:30:00+00:00,New Delhi-8118,-999.0,30.08,45.53,-4.86,0.58,-0.36
2025-01-05 03:30:00+00:00,New Delhi-8118,-999.0,20.71,35.16,-4.86,-1.55,-1.27
2025-01-05 07:30:00+00:00,New Delhi-8118,-999.0,20.32,62.04,-4.86,-1.64,1.08
2025-01-05 11:30:00+00:00,New Delhi-8118,-999.0,21.11,57.3,-4.86,-1.46,0.67
2025-01-05 15:30:00+00:00,New Delhi-8118,-999.0,27.98,47.72,-4.86,0.1,-0.17
2025-01-05 22:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,33.46,45.54,-4.86,1.35,-0.36
2024-12-31 21:30:00+00:00,New Delhi-8118,286.0,23.27,33.96,1.04,-0.97,-1.38
2025-01-01 01:30:00+00:00,New Delhi-8118,185.0,27.03,42.15,0.58,-0.11,-0.66
2025-01-01 05:30:00+00:00,New Delhi-8118,193.0,21.52,44.75,0.61,-1.37,-0.43
2025-01-01 09:30:00+00:00,New Delhi-8118,196.0,27.56,67.78,0.63,0.01,1.59
2025-01-01 13:30:00+00:00,New Delhi-8118,206.0,26.22,55.43,0.67,-0.3,0.5
2025-01-01 17:30:00+00:00,New Delhi-8118,205.0,27.88,47.46,0.67,0.08,-0.19
2025-01-01 20:30:00+00:00,New Delhi-8118,158.0,22.92,44.03,0.45,-1.05,-0.49
2025-01-02 00:30:00+00:00,New Delhi-8118,174.0,21.27,55.27,0.52,-1.43,0.49
2025-01-02 04:30:00+00:00,New Delhi-8118,204.0,32.23,35.86,0.66,1.07,-1.21
2025-01-02 08:30:00+00:00,New Delhi-8118,190.0,28.48,47.04,0.6,0.22,-0.23
2025-01-02 12:30:00+00:00,New Delhi-8118,198.0,25.39,58.9,0.63,-0.49,0.81
2025-01-02 16:30:00+00:00,New Delhi-8118,291.0,25.58,67.17,1.06,-0.44,1.53
2025-01-02 19:30:00+00:00,US Diplomatic Post: New Delhi-8118,210.0,24.48,35.4,0.69,-0.69,-1.25
2025-01-02 23:30:00+00:00,US Diplomatic Post: New Delhi-8118,220.0,30.12,30.7,0.74,0.59,-1.66
2025-01-03 03:30:00+00:00,US Diplomatic Post: New Delhi-8118,180.0,23.04,52.32,0.55,-1.02,0.23
2025-01-03 07:30:00+00:00,US Diplomatic Post: New Delhi-8118,431.0,30.37,37.58,1.7,0.65,-1.06
2025-01-03 11:30:00+00:00,US Diplomatic Post: New Delhi-8118,208.0,31.6,49.57,0.68,0.93,-0.01
2025-01-03 15:30:00+00:00,US Diplomatic Post: New Delhi-8118,261.0,23.01,65.48,0.92,-1.03,1.38
2025-01-03 22:30:00+00:00,US Diplomatic Post: New Delhi-8118,195.0,33.95,58.46,0.62,1.47,0.77
2025-01-04 02:30:00+00:00,US Diplomatic Post: New Delhi-8118,167.0,30.94,34.59,0.49,0.78,-1.32
2025-01-04 06:30:00+00:00,US Diplomatic Post: New Delhi-8118,416.0,30.94,46.27,1.64,0.78,-0.3
2025-01-04 10:30:00+00:00,US Diplomatic Post: New Delhi-8118,352.0,21.5,60.2,1.34,-1.37,0.92
2025-01-04 14:30:00+00:00,US Diplomatic Post: New Delhi-8118,283.0,20.08,58.43,1.02,-1.7,0.77
2025-01-04 18:30:00+00:00,US Diplomatic Post: New Delhi-8118,308.0,21.71,58.59,1.14,-1.33,0.78
2025-01-04 21:30:00+00:00,New Delhi-8118,-999.0,22.1,62.27,-4.86,-1.24,1.1
2025-01-05 01:30:00+00:00,New Delhi-8118,-999.0,28.43,53.76,-4.86,0.21,0.36
2025-01-05 05:30:00+00:00,New Delhi-8118,-999.0,29.99,65.63,-4.86,0.56,1.4
2025-01-05 09:30:00+00:00,New Delhi-8118,-999.0,34.67,36.4,-4.86,1.63,-1.16
2025-01-05 13:30:00+00:00,New Delhi-8118,-999.0,25.77,51.19,-4.86,-0.4,0.13
2025-01-05 17:30:00+00:00,New Delhi-8118,-999.0,30.83,30.11,-4.86,0.75,-1.71
2025-01-05 20:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,26.25,41.42,-4.86,-0.29,-0.72
2024-12-31 20:30:00+00:00,New Delhi-8118,343.0,27.45,38.87,1.3,-0.02,-0.95
2025-01-01 00:30:00+00:00,New Delhi-8118,189.0,22.57,65.3,0.59,-1.13,1.37
2025-01-01 04:30:00+00:00,New Delhi-8118,170.0,22.15,30.81,0.51,-1.23,-1.65
2025-01-01 08:30:00+00:00,New Delhi-8118,202.0,29.67,34.61,0.65,0.49,-1.32
2025-01-01 12:30:00+00:00,New Delhi-8118,203.0,33.05,48.5,0.66,1.26,-0.1
2025-01-01 16:30:00+00:00,New Delhi-8118,213.0,33.99,36.11,0.7,1.48,-1.19
2025-01-01 19:30:00+00:00,New Delhi-8118,163.0,28.32,53.24,0.47,0.18,0.31
2025-01-01 23:30:00+00:00,New Delhi-8118,176.0,33.93,34.08,0.53,1.46,-1.37
2025-01-02 03:30:00+00:00,New Delhi-8118,167.0,33.54,55.95,0.49,1.37,0.55
2025-01-02 07:30:00+00:00,New Delhi-8118,179.0,33.9,34.53,0.55,1.46,-1.33
2025-01-02 11:30:00+00:00,New Delhi-8118,191.0,26.23,58.21,0.6,-0.3,0.75
2025-01-02 15:30:00+00:00,New Delhi-8118,308.0,24.38,55.02,1.14,-0.72,0.47
2025-01-02 22:30:00+00:00,US Diplomatic Post: New Delhi-8118,200.0,28.7,40.89,0.64,0.27,-0.77
2025-01-03 02:30:00+00:00,US Diplomatic Post: New Delhi-8118,203.0,26.75,31.21,0.66,-0.18,-1.62
2025-01-03 06:30:00+00:00,US Diplomatic Post: New Delhi-8118,349.0,29.72,35.61,1.33,0.5,-1.23
2025-01-03 10:30:00+00:00,US Diplomatic Post: New Delhi-8118,278.0,32.74,49.03,1.0,1.19,-0.06
2025-01-03 14:30:00+00:00,US Diplomatic Post: New Delhi-8118,265.0,24.54,43.76,0.94,-0.68,-0.52
2025-01-03 18:30:00+00:00,US Diplomatic Post: New Delhi-8118,333.0,23.48,58.6,1.25,-0.92,0.78
2025-01-03 21:30:00+00:00,US Diplomatic Post: New Delhi-8118,149.0,23.21,31.96,0.41,-0.98,-1.55
2025-01-04 01:30:00+00:00,US Diplomatic Post: New Delhi-8118,179.0,26.7,50.05,0.55,-0.19,0.03
2025-01-04 05:30:00+00:00,US Diplomatic Post: New Delhi-8118,334.0,21.18,37.02,1.26,-1.45,-1.11
2025-01-04 09:30:00+00:00,US Diplomatic Post: New Delhi-8118,370.0,31.61,40.07,1.42,0.93,-0.84
2025-01-04 13:30:00+00:00,US Diplomatic Post: New Delhi-8118,278.0,24.51,54.86,1.0,-0.69,0.45
2025-01-04 17:30:00+00:00,US Diplomatic Post: New Delhi-8118,303.0,33.5,53.67,1.12,1.36,0.35
2025-01-04 20:30:00+00:00,New Delhi-8118,219.0,23.92,63.19,0.73,-0.82,1.18
2025-01-05 00:30:00+00:00,New Delhi-8118,-999.0,27.92,43.88,-4.86,0.09,-0.51
2025-01-05 04:30:00+00:00,New Delhi-8118,-999.0,20.69,42.93,-4.86,-1.56,-0.59
2025-01-05 08:30:00+00:00,New Delhi-8118,-999.0,28.93,55.67,-4.86,0.32,0.52
2025-01-05 12:30:00+00:00,New Delhi-8118,-999.0,24.81,33.04,-4.86,-0.62,-1.46
2025-01-05 16:30:00+00:00,New Delhi-8118,-999.0,31.86,32.45,-4.86,0.99,-1.51
2025-01-05 19:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,31.78,66.91,-4.86,0.97,1.51
2025-01-06 01:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,32.81,46.31,-4.86,1.21,-0.3
2025-01-06 05:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,25.66,44.0,-4.86,-0.43,-0.5
2025-01-06 09:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,28.45,39.99,-4.86,0.21,-0.85
2025-01-06 13:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,29.21,34.46,-4.86,0.38,-1.33
2025-01-06 17:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,34.86,46.99,-4.86,1.67,-0.24
2025-01-06 20:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,20.48,68.4,-4.86,-1.61,1.64
2025-01-07 00:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,32.91,44.54,-4.86,1.23,-0.45
2025-01-07 04:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,24.73,63.09,-4.86,-0.64,1.17
2025-01-07 08:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,20.19,59.97,-4.86,-1.67,0.9
2025-01-07 12:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,25.95,45.29,-4.86,-0.36,-0.38
2025-01-07 16:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,22.97,56.11,-4.86,-1.04,0.56
2025-01-07 19:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,29.71,43.07,-4.86,0.5,-0.58
2025-01-06 00:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,27.81,42.54,-4.86,0.07,-0.63
2025-01-06 04:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,34.66,38.24,-4.86,1.63,-1.0
2025-01-06 08:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,29.17,41.36,-4.86,0.38,-0.73
2025-01-06 12:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,31.73,67.28,-4.86,0.96,1.54
2025-01-06 16:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,32.24,58.96,-4.86,1.08,0.81
2025-01-06 19:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,32.0,31.36,-4.86,1.02,-1.6
2025-01-06 23:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,30.25,46.71,-4.86,0.62,-0.26
2025-01-07 03:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,25.95,45.96,-4.86,-0.36,-0.33
2025-01-07 07:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,21.4,34.53,-4.86,-1.4,-1.33
2025-01-07 11:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,23.93,38.32,-4.86,-0.82,-0.99
2025-01-07 15:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,31.6,38.86,-4.86,0.93,-0.95
2025-01-05 23:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,32.67,30.26,-4.86,1.17,-1.7
2025-01-06 03:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,32.4,40.15,-4.86,1.11,-0.83
2025-01-06 07:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,27.08,36.59,-4.86,-0.1,-1.15
2025-01-06 11:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,23.63,30.92,-4.86,-0.89,-1.64
2025-01-06 15:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,32.79,58.2,-4.86,1.2,0.75
2025-01-06 22:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,26.04,39.96,-4.86,-0.34,-0.85
2025-01-07 02:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,29.55,33.23,-4.86,0.46,-1.44
2025-01-07 06:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,34.18,37.03,-4.86,1.52,-1.11
2025-01-07 10:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,23.79,63.53,-4.86,-0.85,1.21
2025-01-07 14:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,27.46,56.6,-4.86,-0.01,0.61
2025-01-07 18:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,32.7,43.78,-4.86,1.18,-0.52
2025-01-06 02:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,22.3,42.1,-4.86,-1.19,-0.66
2025-01-06 06:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,33.92,48.5,-4.86,1.46,-0.1
2025-01-06 10:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,29.11,54.13,-4.86,0.36,0.39
2025-01-06 14:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,23.38,46.39,-4.86,-0.95,-0.29
2025-01-06 18:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,33.88,54.54,-4.86,1.45,0.43
2025-01-06 21:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,32.17,37.16,-4.86,1.06,-1.1
2025-01-07 01:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,32.66,44.02,-4.86,1.17,-0.5
2025-01-07 05:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,30.76,44.25,-4.86,0.74,-0.48
2025-01-07 09:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,33.05,49.38,-4.86,1.26,-0.03
2025-01-07 13:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,21.86,51.59,-4.86,-1.29,0.17
2025-01-07 17:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,32.85,63.93,-4.86,1.22,1.25
2025-01-07 20:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,23.79,63.8,-4.86,-0.85,1.24
2025-01-08 00:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,34.81,57.28,-4.86,1.66,0.67
2025-01-08 04:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,21.62,32.15,-4.86,-1.35,-1.54
2025-01-08 08:30:00+00:00,US Diplomatic Post: New Delhi-8118,81.0,31.03,59.58,0.1,0.8,0.87
2025-01-08 12:30:00+00:00,US Diplomatic Post: New Delhi-8118,86.0,20.73,45.76,0.12,-1.55,-0.34
2025-01-08 16:30:00+00:00,US Diplomatic Post: New Delhi-8118,245.0,29.86,69.63,0.85,0.53,1.75
2025-01-08 19:30:00+00:00,US Diplomatic Post: New Delhi-8118,265.0,26.78,55.93,0.94,-0.17,0.55
2025-01-08 23:30:00+00:00,US Diplomatic Post: New Delhi-8118,176.0,27.19,69.07,0.53,-0.08,1.7
2025-01-09 03:30:00+00:00,US Diplomatic Post: New Delhi-8118,192.0,27.03,64.19,0.61,-0.11,1.27
2025-01-09 07:30:00+00:00,US Diplomatic Post: New Delhi-8118,173.0,29.82,47.5,0.52,0.52,-0.19
2025-01-09 11:30:00+00:00,US Diplomatic Post: New Delhi-8118,314.0,30.36,48.21,1.17,0.65,-0.13
2025-01-09 13:30:00+00:00,US Diplomatic Post: New Delhi-8118,374.0,34.04,37.7,1.44,1.49,-1.05
2025-01-09 17:30:00+00:00,US Diplomatic Post: New Delhi-8118,339.0,24.12,37.9,1.28,-0.78,-1.03
2025-01-09 20:30:00+00:00,US Diplomatic Post: New Delhi-8118,359.0,33.24,33.99,1.37,1.3,-1.37
2025-01-10 00:30:00+00:00,US Diplomatic Post: New Delhi-8118,289.0,20.66,65.35,1.05,-1.57,1.37
2025-01-10 04:30:00+00:00,US Diplomatic Post: New Delhi-8118,207.0,20.35,41.47,0.68,-1.64,-0.72
2025-01-10 08:30:00+00:00,US Diplomatic Post: New Delhi-8118,207.0,26.22,42.27,0.68,-0.3,-0.65
2025-01-10 12:30:00+00:00,US Diplomatic Post: New Delhi-8118,196.0,25.11,44.29,0.63,-0.55,-0.47
2025-01-10 16:30:00+00:00,US Diplomatic Post: New Delhi-8118,273.0,26.38,44.26,0.98,-0.26,-0.47
2025-01-10 19:30:00+00:00,US Diplomatic Post: New Delhi-8118,243.0,29.88,59.64,0.84,0.54,0.87
2025-01-10 23:30:00+00:00,US Diplomatic Post: New Delhi-8118,146.0,21.82,55.98,0.4,-1.3,0.55
2025-01-11 03:30:00+00:00,US Diplomatic Post: New Delhi-8118,143.0,28.65,38.67,0.38,0.26,-0.96
2025-01-09 12:30:00+00:00,US Diplomatic Post: New Delhi-8118,305.0,34.13,57.69,1.13,1.51,0.7
2025-01-09 16:30:00+00:00,US Diplomatic Post: New Delhi-8118,338.0,26.38,52.69,1.28,-0.26,0.26
2025-01-09 19:30:00+00:00,US Diplomatic Post: New Delhi-8118,351.0,27.74,40.23,1.34,0.05,-0.83
2025-01-09 23:30:00+00:00,US Diplomatic Post: New Delhi-8118,349.0,24.42,58.35,1.33,-0.71,0.76
2025-01-10 03:30:00+00:00,US Diplomatic Post: New Delhi-8118,198.0,26.81,62.81,0.63,-0.16,1.15
2025-01-10 07:30:00+00:00,US Diplomatic Post: New Delhi-8118,222.0,30.2,53.98,0.75,0.61,0.38
2025-01-10 11:30:00+00:00,US Diplomatic Post: New Delhi-8118,203.0,25.31,60.96,0.66,-0.51,0.99
2025-01-10 15:30:00+00:00,US Diplomatic Post: New Delhi-8118,283.0,22.4,61.13,1.02,-1.17,1.0
2025-01-10 22:30:00+00:00,US Diplomatic Post: New Delhi-8118,146.0,32.52,46.77,0.4,1.14,-0.25
2025-01-11 02:30:00+00:00,US Diplomatic Post: New Delhi-8118,147.0,21.29,44.25,0.4,-1.42,-0.48
2025-01-07 21:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,30.67,45.4,-4.86,0.72,-0.37
2025-01-08 01:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,31.72,56.0,-4.86,0.96,0.55
2025-01-08 05:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,24.04,60.32,-4.86,-0.79,0.93
2025-01-08 09:30:00+00:00,US Diplomatic Post: New Delhi-8118,81.0,34.63,42.84,0.1,1.62,-0.6
2025-01-08 13:30:00+00:00,US Diplomatic Post: New Delhi-8118,117.0,26.62,39.18,0.26,-0.21,-0.92
2025-01-08 17:30:00+00:00,US Diplomatic Post: New Delhi-8118,270.0,34.07,41.83,0.97,1.49,-0.69
2025-01-08 20:30:00+00:00,US Diplomatic Post: New Delhi-8118,234.0,23.61,52.17,0.8,-0.89,0.22
2025-01-09 00:30:00+00:00,US Diplomatic Post: New Delhi-8118,176.0,26.11,36.03,0.53,-0.32,-1.2
2025-01-09 04:30:00+00:00,US Diplomatic Post: New Delhi-8118,183.0,21.76,63.12,0.57,-1.32,1.18
2025-01-09 08:30:00+00:00,US Diplomatic Post: New Delhi-8118,427.0,25.36,57.21,1.69,-0.49,0.66
2025-01-07 22:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,30.85,34.13,-4.86,0.76,-1.36
2025-01-08 02:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,21.56,32.57,-4.86,-1.36,-1.5
2025-01-08 06:30:00+00:00,US Diplomatic Post: New Delhi-8118,99.0,34.29,34.47,0.18,1.54,-1.33
2025-01-08 10:30:00+00:00,US Diplomatic Post: New Delhi-8118,70.0,24.43,57.63,0.05,-0.71,0.7
2025-01-08 14:30:00+00:00,US Diplomatic Post: New Delhi-8118,129.0,32.99,53.13,0.32,1.25,0.3
2025-01-08 18:30:00+00:00,US Diplomatic Post: New Delhi-8118,260.0,25.59,45.08,0.92,-0.44,-0.4
2025-01-08 21:30:00+00:00,US Diplomatic Post: New Delhi-8118,200.0,30.55,67.47,0.64,0.69,1.56
2025-01-09 01:30:00+00:00,US Diplomatic Post: New Delhi-8118,160.0,31.03,55.99,0.46,0.8,0.55
2025-01-09 05:30:00+00:00,US Diplomatic Post: New Delhi-8118,161.0,32.53,31.21,0.47,1.14,-1.62
2025-01-09 09:30:00+00:00,US Diplomatic Post: New Delhi-8118,369.0,33.14,62.31,1.42,1.28,1.11
2025-01-09 14:30:00+00:00,US Diplomatic Post: New Delhi-8118,371.0,20.01,39.71,1.43,-1.71,-0.87
2025-01-09 18:30:00+00:00,US Diplomatic Post: New Delhi-8118,347.0,28.07,30.97,1.32,0.12,-1.64
2025-01-09 21:30:00+00:00,US Diplomatic Post: New Delhi-8118,373.0,33.17,38.06,1.44,1.29,-1.02
2025-01-10 01:30:00+00:00,US Diplomatic Post: New Delhi-8118,157.0,21.62,68.58,0.45,-1.35,1.66
2025-01-10 05:30:00+00:00,US Diplomatic Post: New Delhi-8118,248.0,23.29,54.99,0.86,-0.97,0.47
2025-01-10 09:30:00+00:00,US Diplomatic Post: New Delhi-8118,209.0,25.41,49.59,0.69,-0.48,-0.01
2025-01-10 13:30:00+00:00,US Diplomatic Post: New Delhi-8118,217.0,20.82,53.69,0.72,-1.53,0.35
2025-01-10 17:30:00+00:00,US Diplomatic Post: New Delhi-8118,290.0,26.35,42.56,1.06,-0.27,-0.62
2025-01-10 20:30:00+00:00,US Diplomatic Post: New Delhi-8118,188.0,31.2,69.44,0.59,0.84,1.73
2025-01-11 00:30:00+00:00,US Diplomatic Post: New Delhi-8118,138.0,24.24,69.39,0.36,-0.75,1.73
2025-01-11 04:30:00+00:00,US Diplomatic Post: New Delhi-8118,157.0,29.28,62.29,0.45,0.4,1.1
2025-01-11 08:30:00+00:00,US Diplomatic Post: New Delhi-8118,182.0,31.53,49.77,0.56,0.91,0.01
2025-01-11 12:30:00+00:00,US Diplomatic Post: New Delhi-8118,226.0,31.23,47.52,0.76,0.85,-0.19
2025-01-11 16:30:00+00:00,US Diplomatic Post: New Delhi-8118,127.0,30.73,58.65,0.31,0.73,0.79
2025-01-11 19:30:00+00:00,US Diplomatic Post: New Delhi-8118,134.0,21.08,59.2,0.34,-1.47,0.83
2025-01-11 23:30:00+00:00,US Diplomatic Post: New Delhi-8118,159.0,30.03,47.67,0.46,0.57,-0.18
