date,region,pm25,temperature,humidity
2025-02-27,US Diplomatic Post: New Delhi-8118,49.38,28.6,47.74
2025-02-28,New Delhi-8118,56.0,30.66,51.21
2025-02-28,US Diplomatic Post: New Delhi-8118,-110.95,28.34,46.26
2025-03-01,New Delhi-8118,60.38,28.48,46.07
2025-03-02,New Delhi-8118,45.08,27.52,45.24
2025-03-03,New Delhi-8118,58.67,26.75,51.69
2025-03-04,New Delhi-8118,43.38,27.52,46.49
2025-03-05,New Delhi-8118,34.58,26.75,47.84
2025-03-06,New Delhi-8118,59.21,26.96,50.86
2025-03-07,New Delhi-8118,89.88,24.43,52.5
2025-03-08,New Delhi-8118,64.29,26.87,50.04
2025-03-09,New Delhi-8118,83.0,26.69,52.11
2025-03-10,New Delhi-8118,93.42,28.2,50.66
2025-03-11,New Delhi-8118,107.12,27.33,50.47
2025-03-12,New Delhi-8118,77.29,27.86,54.98
2025-03-13,New Delhi-8118,87.96,28.77,43.86
2025-03-14,New Delhi-8118,55.08,28.47,48.12
2025-03-15,New Delhi-8118,32.71,26.44,47.94
2025-03-16,New Delhi-8118,44.0,27.06,53.04
2025-03-17,New Delhi-8118,59.29,26.33,51.1
2025-03-18,New Delhi-8118,69.5,26.34,53.24
2025-03-19,New Delhi-8118,60.12,29.5,49.86
2025-03-20,New Delhi-8118,56.71,27.33,51.36
2025-03-21,New Delhi-8118,69.17,27.17,50.37
2025-03-22,New Delhi-8118,60.75,29.15,50.96
2025-03-23,New Delhi-8118,67.17,29.12,46.85
2025-03-24,New Delhi-8118,77.12,27.29,50.47
2025-03-25,New Delhi-8118,89.5,27.06,53.27
2025-03-26,New Delhi-8118,79.21,26.53,47.81
2025-03-27,New Delhi-8118,70.83,27.5,46.89
2025-03-28,New Delhi-8118,41.29,26.17,46.2
2025-03-29,New Delhi-8118,41.42,27.39,50.83
2025-03-30,New Delhi-8118,48.33,28.59,53.6
2025-03-31,New Delhi-8118,70.71,27.78,54.54
2025-04-01,New Delhi-8118,81.46,27.8,53.9
2025-04-02,New Delhi-8118,90.88,27.06,50.54
2025-04-03,New Delhi-8118,59.25,26.16,47.21
2025-04-04,New Delhi-8118,58.33,27.48,50.36
2025-04-05,New Delhi-8118,81.92,25.94,53.18
2025-04-06,New Delhi-8118,65.96,27.76,48.58
2025-04-07,New Delhi-8118,92.29,28.35,49.79
2025-04-08,New Delhi-8118,90.38,27.46,45.78
2025-04-09,New Delhi-8118,91.62,26.91,46.48
2025-04-10,New Delhi-8118,60.38,27.06,47.12
2025-04-11,New Delhi-8118,44.71,27.85,53.58
2025-04-12,New Delhi-8118,49.71,28.09,49.1
2025-04-13,New Delhi-8118,61.88,27.88,47.02
2025-04-14,New Delhi-8118,65.12,25.45,48.72
2025-04-15,New Delhi-8118,63.33,26.79,45.97
2025-04-16,New Delhi-8118,85.12,26.19,49.06
2025-04-17,New Delhi-8118,64.12,26.71,51.54
2025-04-18,New Delhi-8118,81.38,27.92,51.05
2025-04-19,New Delhi-8118,52.29,28.89,50.35
2025-04-20,New Delhi-8118,62.88,26.57,48.14
2025-04-21,New Delhi-8118,72.58,28.09,46.94
2025-04-22,New Delhi-8118,74.79,27.95,51.34
2025-04-23,New Delhi-8118,94.04,26.94,54.06
2025-04-24,New Delhi-8118,71.71,26.17,51.66
2025-04-25,New Delhi-8118,87.53,26.01,51.68
